clip_no,filename,start_sec,end_sec,anchor_sec,start_ts,end_ts,duration_sec,motion_score
1,clip_01_00m16s-00m44s.mp4,16.0,44.0,30.0,00:00:16.000,00:00:44.000,28.0,55.46
2,clip_02_00m52s-01m20s.mp4,52.0,80.0,66.0,00:00:52.000,00:01:20.000,28.0,49.51
3,clip_03_01m23s-01m51s.mp4,82.9,110.9,96.9,00:01:22.900,00:01:50.900,28.0,44.88
