time_sec,frame_idx,motion_score
0.0,0,0.0
1.0,30,40.5798
2.0,60,38.7564
3.0,90,40.1236
4.0,120,38.6676
5.0,150,31.056
6.0,180,44.2246
7.0,210,21.6214
8.0,240,32.5842
9.0,270,39.6357
10.0,300,41.8944
11.0,330,34.8318
12.0,360,42.6112
13.0,390,45.7403
14.0,420,31.0481
15.0,450,31.4121
16.0,480,42.3533
17.0,510,47.3107
18.0,540,28.5546
19.0,570,34.7107
20.0,600,32.1759
21.0,630,46.1772
22.0,660,28.0429
23.0,690,30.3178
24.0,720,46.0643
25.0,750,32.9404
26.0,780,27.9545
27.0,810,21.189
28.0,840,22.7921
29.0,870,32.8636
30.0,900,60.5103
31.0,930,46.3377
32.0,960,33.1774
33.0,990,25.589
34.0,1020,20.6108
35.0,1050,37.2254
36.0,1080,53.0632
37.0,1110,45.8075
38.0,1140,36.8847
39.0,1170,33.529
40.0,1200,49.0819
41.0,1230,40.5787
42.0,1260,31.7888
43.0,1290,30.091
44.0,1320,50.9525
45.0,1350,41.3776
46.0,1380,43.7235
47.0,1410,36.1496
48.0,1440,58.7728
49.0,1470,40.5618
50.0,1500,26.6062
51.0,1530,36.0656
52.0,1560,20.2604
53.0,1590,14.6054
54.0,1620,30.6273
55.0,1650,24.0313
56.0,1680,12.5406
57.0,1710,30.2052
58.0,1740,21.1198
59.0,1770,27.7023
60.0,1800,30.8859
61.0,1830,26.9265
62.0,1860,19.6889
63.0,1890,28.2783
64.0,1920,17.5929
65.0,1950,20.4856
66.0,1980,17.9711
67.0,2010,34.5164
68.0,2040,42.4653
69.0,2070,31.996
70.0,2100,27.1524
71.0,2130,33.4506
72.0,2160,19.0427
73.0,2190,23.3897
74.0,2220,26.408
75.0,2250,22.7815
76.0,2280,58.777
77.0,2310,39.8308
78.0,2340,29.9472
79.0,2370,31.6854
80.0,2400,29.1407
81.0,2430,26.2508
82.0,2460,40.0353
83.0,2490,40.3308
84.0,2520,32.1238
85.0,2550,27.5744
86.0,2580,35.45
87.0,2610,38.4339
88.0,2640,36.731
89.0,2670,33.4947
90.0,2700,26.5436
91.0,2730,33.7379
92.0,2760,44.4353
93.0,2790,37.2479
94.0,2820,31.6218
95.0,2850,26.1921
96.0,2880,33.4564
97.0,2910,24.7587
98.0,2940,17.6011
99.0,2970,20.9358
100.0,3000,43.2652
101.0,3030,57.2906
102.0,3060,51.5537
103.0,3090,34.5389
104.0,3120,37.8677
105.0,3150,51.5652
106.0,3180,44.8657
107.0,3210,34.5203
108.0,3240,33.1006
109.0,3270,25.7191
110.0,3300,45.8865
111.0,3330,26.4979
112.0,3360,39.6113
113.0,3390,30.1149
114.0,3420,21.2045
115.0,3450,42.8835
116.0,3480,34.2168
117.0,3510,23.0014
118.0,3540,40.4301
119.0,3570,39.1443
120.0,3600,36.6723
121.0,3630,32.7325
122.0,3660,28.2915
123.0,3690,21.873
124.0,3720,30.4348
125.0,3750,27.0495
126.0,3780,26.8203
127.0,3810,54.7989
128.0,3840,36.6895
129.0,3870,44.9105
130.0,3900,29.1306
131.0,3930,30.5184
132.0,3960,31.5203
133.0,3990,40.1221
134.0,4020,35.7277
135.0,4050,38.4951
136.0,4080,19.3105
137.0,4110,34.8543
138.0,4140,35.6226
139.0,4170,36.0173
140.0,4200,31.7098
141.0,4230,25.1702
142.0,4260,45.4004
143.0,4290,46.7756
144.0,4320,40.9735
145.0,4350,42.8242
146.0,4380,32.448
147.0,4410,31.8583
148.0,4440,28.7502
149.0,4470,22.9539
150.0,4500,26.0682
151.0,4530,23.5732
152.0,4560,31.9385
153.0,4590,39.8704
154.0,4620,24.9294
155.0,4650,17.6283
156.0,4680,21.5741
157.0,4710,27.3442
158.0,4740,28.9369
159.0,4770,24.592
160.0,4800,30.4702
161.0,4830,59.9267
162.0,4860,42.1459
163.0,4890,45.626
164.0,4920,48.4689
165.0,4950,25.4267
166.0,4980,53.2349
167.0,5010,62.668
168.0,5040,70.723
169.0,5070,55.6651
170.0,5100,64.4036
171.0,5130,56.8279
172.0,5160,47.9295
173.0,5190,35.4082
174.0,5220,16.2984
175.0,5250,13.4953
176.0,5280,9.8447
177.0,5310,12.3754
178.0,5340,14.8319
179.0,5370,16.8756
180.0,5400,44.9859
181.0,5430,30.701
182.0,5460,6.7909
183.0,5490,43.87
184.0,5520,29.7425
185.0,5550,12.3327
186.0,5580,6.5902
187.0,5610,0.0
188.0,5640,1.8621
189.0,5670,4.7533
190.0,5700,33.6383
191.0,5730,41.5638
192.0,5760,25.702
193.0,5790,11.2146
194.0,5820,17.3758
195.0,5850,6.3032
196.0,5880,0.0
197.0,5910,2.2114
