file_id,model_key,model_label,cer,wer,substitutions,deletions,insertions,hits,ins_rate,del_rate,length_ratio,cs_wer,cs_ref_tokens,rtf_mean,rtf_std,vad_speech_ratio,vad_n_segments
CLIP1,faster_whisper_large_v3,Faster-Whisper (large-v3),0.2222,0.2812,9,0,0,23,0.0,0.0,1.0,0.6667,3,0.1311,0.0082,,
CLIP2,faster_whisper_large_v3,Faster-Whisper (large-v3),0.5991,0.9091,37,4,9,14,0.1636,0.0727,1.0909,1.0,4,0.121,0.0079,,
CLIP3,faster_whisper_large_v3,Faster-Whisper (large-v3),0.1456,0.56,9,0,5,16,0.2,0.0,1.2,,0,0.1365,0.0047,,
CLIP4,faster_whisper_large_v3,Faster-Whisper (large-v3),0.0081,0.0357,1,0,0,27,0.0,0.0,1.0,,1,0.1413,0.0073,,
