file_id,model_key,model_label,cer,wer,substitutions,deletions,insertions,hits,ins_rate,del_rate,length_ratio,cs_wer,cs_ref_tokens,rtf_mean,rtf_std,vad_speech_ratio,vad_n_segments
CLIP1,seamless_m4t_v2,Seamless-M4T v2-Large (한국어 ASR),0.3333,0.4688,13,1,1,18,0.0312,0.0312,1.0,0.6667,3,0.2567,0.0007,,
CLIP2,seamless_m4t_v2,Seamless-M4T v2-Large (한국어 ASR),0.9604,1.0,4,51,0,0,0.0,0.9273,0.0727,1.0,4,0.1251,0.0006,,
CLIP3,seamless_m4t_v2,Seamless-M4T v2-Large (한국어 ASR),0.2427,0.6,10,0,5,15,0.2,0.0,1.2,,0,0.2648,0.0021,,
CLIP4,seamless_m4t_v2,Seamless-M4T v2-Large (한국어 ASR),0.9187,0.9286,1,25,0,2,0.0,0.8929,0.1071,,1,0.0907,0.0001,,
