clip_no,filename,start_sec,end_sec,anchor_sec,start_ts,end_ts,duration_sec,motion_score
1,clip_01_00m07s-00m33s.mp4,7.0,33.0,20.0,00:00:07.000,00:00:33.000,26.0,26.24
2,clip_02_00m50s-01m16s.mp4,50.0,76.0,63.0,00:00:50.000,00:01:16.000,26.0,52.66
3,clip_03_01m23s-01m49s.mp4,83.0,109.0,96.0,00:01:23.000,00:01:49.000,26.0,65.43
