file_id,silence_ratio,condition,batched,batch_size,oom_fallback,wer,cer,hallucination_per_hour,rtf_mean,rtf_std,vad_time_s,n_chunks
H01,0.711,A_prime,False,,False,0.2173346366894754,0.09365117976161517,95.81283074923405,0.016827517618919433,0.0005718331755533062,,
H01,0.711,A_prime_batch,True,8,False,0.21896383186705767,0.10216492337630746,19.496796954786,0.0073108306020746765,7.2071714939353e-06,,216
H01,0.711,B,False,,False,0.20039100684261973,0.07370469472147896,119.20898709497726,0.029160578905933012,3.59051504814041e-05,175.2595122109924,446
H01,0.711,B_batch,True,8,False,0.19811013359400456,0.07419119435660423,108.62501160523628,0.013211849326257288,2.541295357464498e-05,174.55426806700416,446
H02,0.6726,A_prime,False,,False,0.13475521085797382,0.04763073901301252,95.49610565526582,0.01687010036035441,2.3218741221619154e-05,,
H02,0.6726,A_prime_batch,True,8,False,0.17741153659718856,0.09243800638350111,22.35015238740264,0.00762821876263066,2.289297997333387e-05,,119
H02,0.6726,B,False,,False,0.17595734367426077,0.07402406088877977,139.18049441246188,0.037842271084634525,9.485068370260941e-05,91.84760247200029,322
H02,0.6726,B_batch,True,8,False,0.16674745516238487,0.07120058924625583,120.8940060954961,0.017032907553945095,1.582255141322141e-05,94.08367038701545,322
H03,0.6992,A_prime,False,,False,0.09494640122511486,0.03440063508864779,115.46762589928058,0.016600236386051802,5.645576903419825e-06,,
H03,0.6992,A_prime_batch,True,8,False,0.11944869831546708,0.06800740936755756,20.50359712230216,0.00760405979125268,2.2019166588837414e-06,,112
H03,0.6992,B,False,,False,0.11179173047473201,0.04948399047367028,150.0,0.04134027125684047,3.472992999909609e-05,89.18525847999263,340
H03,0.6992,B_batch,True,8,False,0.11485451761102604,0.050410161418364643,144.6043165467626,0.018791093782649593,2.458286747592586e-05,87.8406342509843,340
H04,0.6929,A_prime,False,,False,0.14516129032258066,0.05463401790416009,82.9686679502888,0.016442827517288882,2.3271090990528725e-05,,
H04,0.6929,A_prime_batch,True,8,False,0.20291363163371487,0.12216956292785677,18.90425345702783,0.007563885341181106,7.997049708827728e-06,,115
H04,0.6929,B,False,,False,0.18678459937565037,0.0988678251711427,141.78190092770873,0.03650632438575207,2.9169507180437823e-05,88.06036205298733,291
H04,0.6929,B_batch,True,8,False,0.18314255983350677,0.10584518167456557,114.4757570453352,0.01614518536292625,2.2496822822052727e-05,91.35249668100732,291
H05,0.686,A_prime,False,,False,0.23212487411883181,0.12899743624342194,132.35294117647058,0.01681460193069734,1.2580002761366207e-05,,
H05,0.686,A_prime_batch,True,8,False,0.243202416918429,0.15261098367291864,20.361990950226243,0.0077859118160904005,6.430139586978991e-06,,107
H05,0.686,B,False,,False,0.21651560926485397,0.10255026312238565,160.63348416289594,0.03303341707432136,1.3585181943242771e-05,81.99798914199346,236
H05,0.686,B_batch,True,8,False,0.2079556898288016,0.09620833895560653,113.12217194570135,0.014391729097695467,2.0962642303765053e-05,86.42246802800219,236
L01,0.1843,A_prime,False,,False,0.23243559718969556,0.087620770072819,62.085433802069524,0.022286799755752013,0.00012408649653624295,,
L01,0.1843,A_prime_batch,True,8,False,0.3866120218579235,0.2707629337013945,21.491111700716374,0.008294560829029024,3.694004760632032e-05,,151
L01,0.1843,B,False,,False,0.5413739266198283,0.4293465327685498,62.88140090209606,0.0384030486011346,8.394122458792243e-05,122.5816864509834,375
L01,0.1843,B_batch,True,8,False,0.5483996877439501,0.4380562562467279,50.14592730167154,0.016308074039297238,1.73806510513288e-05,119.36683658999391,375
L02,0.0046,A_prime,False,,False,0.3201343892488601,0.11902590295512587,149.15427985648384,0.028872121910085844,0.0002410590110088725,,
L02,0.0046,A_prime_batch,True,8,False,0.3566114710823134,0.16721391219749482,19.989748846745258,0.009055071416949993,1.1517781002400687e-06,,157
L02,0.0046,B,False,,False,0.3528917686585073,0.1311261096923264,144.5412608918503,0.03896902393805272,9.50086743556904e-05,127.49445138301235,156
