time_sec,frame_idx,motion_score
0.0,0,0.0
1.0,30,13.7779
2.0,60,17.627
3.0,90,6.6955
4.0,120,6.5769
5.0,150,24.1738
6.0,180,20.8012
7.0,210,5.5373
8.0,240,9.094
9.0,270,7.0661
10.0,300,10.3458
11.0,330,6.4082
12.0,360,8.7896
13.0,390,11.7117
14.0,420,6.9474
15.0,450,26.5701
16.0,480,54.7435
17.0,510,39.96
18.0,540,25.1203
19.0,570,31.1981
20.0,600,20.8296
21.0,630,15.5482
22.0,660,25.1731
23.0,690,38.3274
24.0,720,50.9126
25.0,750,26.1481
26.0,780,19.3039
27.0,810,13.7159
28.0,840,46.8245
29.0,870,47.2024
30.0,900,42.3954
31.0,930,57.6436
32.0,960,28.0017
33.0,990,47.3376
34.0,1020,11.3063
35.0,1050,17.5236
36.0,1080,29.7625
37.0,1110,10.5513
38.0,1140,32.0237
39.0,1170,24.2441
40.0,1200,12.2852
41.0,1230,11.0841
42.0,1260,8.6845
43.0,1290,7.2446
44.0,1320,6.3622
45.0,1350,6.4316
46.0,1380,7.1039
47.0,1410,6.9441
48.0,1440,4.6371
49.0,1470,4.6907
50.0,1500,5.3463
51.0,1530,4.0284
52.0,1560,3.127
53.0,1590,4.4792
54.0,1620,35.416
55.0,1650,4.5275
56.0,1680,4.1012
57.0,1710,2.4941
58.0,1740,6.4023
59.0,1770,5.7
60.0,1800,2.173
61.0,1830,2.7422
62.0,1860,3.2396
63.0,1890,2.3822
64.0,1920,4.3692
65.0,1950,9.18
66.0,1980,21.2135
67.0,2010,14.5371
68.0,2040,7.9615
69.0,2070,10.0163
70.0,2100,8.8504
71.0,2130,6.6656
72.0,2160,7.2078
73.0,2190,4.4109
74.0,2220,2.7721
75.0,2250,4.3424
76.0,2280,4.9642
77.0,2310,7.02
78.0,2340,8.845
79.0,2370,13.8534
80.0,2400,61.9816
81.0,2430,9.548
82.0,2460,10.8084
83.0,2490,18.224
84.0,2520,17.7413
85.0,2550,10.2967
86.0,2580,9.0336
87.0,2610,16.039
88.0,2640,28.5935
89.0,2670,19.9989
90.0,2700,14.432
91.0,2730,8.0503
92.0,2760,24.957
93.0,2790,38.2566
94.0,2820,28.1105
95.0,2850,21.4089
96.0,2880,12.132
97.0,2910,4.1746
98.0,2940,5.4526
99.0,2970,6.629
100.0,3000,26.2794
101.0,3030,34.3346
102.0,3060,18.2016
103.0,3090,12.8777
104.0,3120,7.5437
105.0,3150,8.0084
106.0,3180,7.8313
107.0,3210,9.5081
108.0,3240,9.095
109.0,3270,9.788
110.0,3300,6.7263
111.0,3330,6.6236
112.0,3360,10.9909
113.0,3390,6.4354
114.0,3420,5.9241
115.0,3450,9.2645
116.0,3480,6.8843
117.0,3510,5.5908
118.0,3540,5.8545
119.0,3570,6.2628
120.0,3600,9.8151
121.0,3630,15.9401
122.0,3660,35.227
123.0,3690,29.7924
124.0,3720,22.5984
125.0,3750,12.8184
126.0,3780,10.8838
127.0,3810,18.9768
128.0,3840,18.8511
129.0,3870,21.833
130.0,3900,14.8404
131.0,3930,13.0022
132.0,3960,12.0607
133.0,3990,13.3961
134.0,4020,31.5796
135.0,4050,27.484
136.0,4080,20.1621
137.0,4110,15.8839
138.0,4140,12.9741
139.0,4170,12.2867
140.0,4200,31.2848
141.0,4230,25.6329
142.0,4260,12.5921
143.0,4290,74.0782
144.0,4320,23.5874
145.0,4350,13.565
146.0,4380,9.3822
147.0,4410,6.0677
148.0,4440,4.5981
149.0,4470,10.793
150.0,4500,6.0867
151.0,4530,6.8865
152.0,4560,18.8036
153.0,4590,19.0588
154.0,4620,12.6213
155.0,4650,21.7604
156.0,4680,6.8513
157.0,4710,4.3734
158.0,4740,4.9452
159.0,4770,2.6037
160.0,4800,8.8029
161.0,4830,9.1332
162.0,4860,8.2511
163.0,4890,8.6047
164.0,4920,10.7255
165.0,4950,21.2196
166.0,4980,16.3402
167.0,5010,21.5943
168.0,5040,28.2725
169.0,5070,17.7422
170.0,5100,27.234
171.0,5130,10.9884
172.0,5160,23.0589
173.0,5190,23.1289
174.0,5220,17.2545
175.0,5250,11.6927
176.0,5280,13.7595
177.0,5310,11.5304
178.0,5340,6.9524
179.0,5370,4.6898
180.0,5400,1.9037
181.0,5430,1.8596
182.0,5460,2.8021
183.0,5490,1.85
184.0,5520,2.5757
185.0,5550,6.8765
186.0,5580,8.2178
187.0,5610,5.8374
188.0,5640,2.284
189.0,5670,2.6056
190.0,5700,2.6081
191.0,5730,2.5335
192.0,5760,2.2989
193.0,5790,3.5889
194.0,5820,2.5708
195.0,5850,3.3471
196.0,5880,3.7338
197.0,5910,3.2442
198.0,5940,6.8198
199.0,5970,10.4083
200.0,6000,6.4836
201.0,6030,7.2033
202.0,6060,3.0892
203.0,6090,5.0206
204.0,6120,4.2822
205.0,6150,8.0085
206.0,6180,3.1
207.0,6210,4.2099
208.0,6240,2.2678
209.0,6270,0.0
210.0,6300,2.0998
211.0,6330,3.0372
212.0,6360,2.3543
213.0,6390,3.8313
214.0,6420,6.4201
215.0,6450,3.5306
216.0,6480,3.0042
217.0,6510,3.4659
218.0,6540,2.6237
219.0,6570,8.543
220.0,6600,1.859
221.0,6630,0.0
222.0,6660,5.5928
223.0,6690,4.5512
224.0,6720,6.9135
225.0,6750,0.0
226.0,6780,4.7376
227.0,6810,12.056
228.0,6840,8.6908
