threshold,speech_pad_ms,wer,cer,n_chunks,file_id,silence_ratio
0.3,0,0.17457886676875958,0.08189997353797301,484,H03,0.6992
0.3,200,0.11995916283818274,0.05451177560201111,435,H03,0.6992
0.3,400,0.11026033690658499,0.04908706006880127,334,H03,0.6992
0.5,0,0.19601837672281777,0.09857105054247155,509,H03,0.6992
0.5,200,0.1281265952016335,0.05715797830113787,458,H03,0.6992
0.5,400,0.11026033690658499,0.04961630060862662,340,H03,0.6992
0.7,0,0.22817764165390506,0.12079915321513628,522,H03,0.6992
0.7,200,0.1383358856559469,0.06522889653347447,474,H03,0.6992
0.7,400,0.12046962736089842,0.05530563641174914,348,H03,0.6992
0.3,0,0.16292364230298081,0.04765576804441703,799,L03,0.1715
0.3,200,0.15577786851776235,0.04462266090890397,728,L03,0.1715
0.3,400,0.15312372396896692,0.04451984371786963,452,L03,0.1715
0.5,0,0.16925275622703145,0.05094591815751594,853,L03,0.1715
0.5,200,0.15822784810126583,0.0459592843923504,772,L03,0.1715
0.5,400,0.15149040424663127,0.04405716635821509,483,L03,0.1715
0.7,0,0.17476521028991426,0.054801562821303725,901,L03,0.1715
0.7,200,0.1610861576153532,0.047861402426485705,806,L03,0.1715
0.7,400,0.15516537362188648,0.04523956405511002,502,L03,0.1715
