epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3231.51,1.08419,0.84236,1.24394,0.75094,0.81286,0.82117,0.54216,1.26899,1.00704,1.33319,0.000540037,0.000540037,0.000540037
43,3308.17,1.07528,0.83907,1.24818,0.74705,0.8203,0.81629,0.5306,1.22381,0.92742,1.33967,0.000531038,0.000531038,0.000531038
44,3384.77,1.08764,0.83305,1.2427,0.75367,0.81841,0.83319,0.55064,1.1917,0.97769,1.30661,0.000522039,0.000522039,0.000522039
45,3461.39,1.07241,0.82138,1.24149,0.7332,0.79505,0.81064,0.53736,1.20017,0.99182,1.31887,0.00051304,0.00051304,0.00051304
46,3538.08,1.06126,0.80832,1.2346,0.72905,0.82442,0.81405,0.53441,1.26216,0.93606,1.35187,0.00050404,0.00050404,0.00050404
47,3614.61,1.07003,0.81244,1.23404,0.74891,0.83196,0.83463,0.54099,1.21591,0.95556,1.29208,0.000495041,0.000495041,0.000495041
48,3691.18,1.04198,0.79325,1.21511,0.7848,0.79011,0.80931,0.54203,1.18383,0.98007,1.2965,0.000486042,0.000486042,0.000486042
49,3767.81,1.04741,0.79689,1.23252,0.77796,0.817,0.84459,0.55233,1.2143,0.92133,1.32961,0.000477043,0.000477043,0.000477043
50,3844.45,1.04876,0.801,1.21969,0.71604,0.81069,0.80887,0.53889,1.23273,0.97756,1.3299,0.000468044,0.000468044,0.000468044
51,3921.17,1.04406,0.79045,1.22312,0.76268,0.84177,0.83866,0.55468,1.20859,0.94641,1.29563,0.000459045,0.000459045,0.000459045
52,3998.11,1.0318,0.77405,1.20708,0.77943,0.79546,0.81752,0.53961,1.19804,0.96601,1.28725,0.000450046,0.000450046,0.000450046
53,4074.79,1.0175,0.76478,1.20445,0.771,0.8172,0.83249,0.56188,1.20037,0.99223,1.27269,0.000441047,0.000441047,0.000441047
54,4151.8,1.00645,0.75046,1.19858,0.79675,0.8176,0.81796,0.52368,1.2682,0.99704,1.36469,0.000432048,0.000432048,0.000432048
55,4228.43,1.01663,0.76402,1.20811,0.78687,0.8044,0.80961,0.54019,1.23145,0.92694,1.31862,0.000423049,0.000423049,0.000423049
56,4305,1.00618,0.7557,1.20132,0.76589,0.8066,0.81531,0.54257,1.21894,0.97733,1.3537,0.000414049,0.000414049,0.000414049
57,4381.68,1.00046,0.73858,1.18901,0.76996,0.78989,0.7968,0.54325,1.22594,0.96829,1.32694,0.00040505,0.00040505,0.00040505
58,4458.36,1.00326,0.74916,1.2004,0.76682,0.8207,0.82207,0.54598,1.17961,0.935,1.29821,0.000396051,0.000396051,0.000396051
59,4535.04,0.9851,0.7414,1.18545,0.76301,0.83486,0.83792,0.55488,1.18011,0.94157,1.2766,0.000387052,0.000387052,0.000387052
60,4611.58,0.98022,0.73309,1.18518,0.75067,0.82808,0.83278,0.55118,1.1964,0.94346,1.33079,0.000378053,0.000378053,0.000378053
61,4688.34,0.97858,0.73036,1.18397,0.7616,0.82866,0.84032,0.5599,1.1783,0.91754,1.2871,0.000369054,0.000369054,0.000369054
62,4765,0.94664,0.70748,1.16029,0.76382,0.82635,0.82738,0.54426,1.19568,0.91758,1.3023,0.000360055,0.000360055,0.000360055
63,4841.66,0.95307,0.70157,1.16612,0.75329,0.83802,0.82455,0.54599,1.18794,0.9516,1.31824,0.000351056,0.000351056,0.000351056
64,4918.35,0.94831,0.6992,1.16542,0.80234,0.84299,0.846,0.56529,1.1851,0.93771,1.28491,0.000342057,0.000342057,0.000342057
65,4995.36,0.9493,0.69857,1.16041,0.78697,0.81515,0.82321,0.55117,1.20595,0.95216,1.2947,0.000333058,0.000333058,0.000333058
66,5071.92,0.94414,0.68989,1.16196,0.81947,0.8214,0.83073,0.54981,1.23818,0.9119,1.32429,0.000324058,0.000324058,0.000324058
67,5148.65,0.93992,0.69005,1.15956,0.79489,0.83898,0.83343,0.55728,1.18439,0.94751,1.33411,0.000315059,0.000315059,0.000315059
