file_id,utterance_type,model_key,model_label,cer,wer,substitutions,deletions,insertions,hits,ins_rate,del_rate,length_ratio,cer_early,cer_late,cer_degradation,cs_wer,cs_ref_tokens,rtf_mean,rtf_std,rtf_note,deployable
CLIP1,대화,faster_whisper_large_v3,Faster-Whisper (large-v3),0.7926,0.5,6,0,10,26,0.3125,0.0,1.3125,0.9853,1.7121,0.7268,1.0,3,0.1426,0.0197,,True
CLIP2,대화,faster_whisper_large_v3,Faster-Whisper (large-v3),1.4449,1.6727,41,2,49,12,0.8909,0.0364,1.8545,1.7455,1.6316,-0.1139,1.0,4,0.2013,0.0027,,True
CLIP3,대화,faster_whisper_large_v3,Faster-Whisper (large-v3),0.1748,0.56,9,0,5,16,0.2,0.0,1.2,1.6667,0.1212,-1.5455,,0,0.0236,0.0005,,True
CLIP4,대화,faster_whisper_large_v3,Faster-Whisper (large-v3),1.0,1.0,3,0,25,25,0.8929,0.0,1.8929,1.1522,1.1974,0.0452,,1,0.132,0.0397,,True
